enrichment	gene	p-value(ttest)	enrichment(late/early)
most_enriched:	2310046K01Rik	0.00196191383696	33.7835515282
enriched:	Slc4a1	0.000159079103191	6.35232609129
enriched:	Tmem184a	0.00132452362669	8.8390606376
enriched:	Epb4.9	0.00665367150569	10.1752476682
enriched:	Alas2	0.00986550429249	6.7874725755
enriched:	Fam132b	0.0116643146812	7.28749056934
enriched:	Csf2rb2	0.00839755202433	4.0599100802
enriched:	2310046K01Rik	0.00196191383696	33.7835515282
enriched:	Ypel4	0.00395059195745	10.0804502529
enriched:	Ypel3	0.0139109617351	2.8179952358
enriched:	Arhgap23	0.0146064962429	2.40241246584
enriched:	B230312A22Rik	0.0285175754999	3.23328195897
enriched:	Tmcc2	0.0047733564238	2.47015346588
enriched:	Pdia2	0.036072466978	3.96151057227
enriched:	Csf2rb	0.0044540206344	2.05641584338
enriched:	Ache	0.00119899759685	2.33338334282
enriched:	Btg2	0.0220564813784	2.82939263489
enriched:	Kalrn	0.0149900156704	6.32749485467
enriched:	Abcb10	0.0178684915336	2.06941395475
enriched:	Slc38a5	0.0178914525701	7.49321049637
enriched:	Rragd	0.0102672065077	8.77674146264
enriched:	Evi5l	0.000494787079654	2.53865599566
enriched:	Dnajb2	0.00615779856701	3.083387818
enriched:	Slc6a9	0.00199510862759	3.47988816258
enriched:	Arhgdig	0.0225796814659	2.1180072171
enriched:	Itga7	0.0445329727279	17.6224592512
enriched:	Slc25a37	0.000298221871959	2.39182359136
enriched:	Abhd4	0.00695688776091	2.76887273434
enriched:	Rab3il1	0.00108810439271	5.65987902947
enriched:	Ppp2r5b	0.01526594949	2.57754654447
enriched:	Fam46c	0.00463002526511	2.23625032744
enriched:	Cdc25b	0.0367183442995	2.31207393212
enriched:	Dyrk1b	0.017813147792	2.05880176242
enriched:	Dhrs11	0.0205692166073	2.47578075339
enriched:	Srxn1	0.0155342627066	4.02011442066
enriched:	Map1lc3a	0.0183008465683	2.51908500937
enriched:	Btn1a1	0.048318558038	3.06159606905
enriched:	Fn3k	0.00606665620507	15.1595065695
enriched:	Mdk	0.0109618251125	2.97327835805
enriched:	Tubb1	0.000805607575305	19.9626271135
enriched:	Slc46a3	0.0132669272804	2.67299717092
enriched:	Cpne9	0.0100117527957	10.941732092
enriched:	Crat	0.00187360309106	2.26135274233
enriched:	Matn1	0.00384776410933	7.62326409126
enriched:	Wsb2	0.00331377302426	2.07555353738
enriched:	Uba7	0.0156977171027	2.05993710159
enriched:	Tmem150a	0.0137578173521	3.68886459608
enriched:	Calcoco1	0.0433698796936	2.13722149823
enriched:	Dhrs3	0.0139665213146	8.24127681476
enriched:	Ypel2	0.0194823209339	3.58974232375
enriched:	Abcb9	0.00844500429834	6.85784305724
enriched:	1810058I24Rik	0.0147633716743	2.24832351957
enriched:	Pfkfb4	0.00305997469392	3.6459216752
enriched:	Tnfrsf13c	0.00266101754081	10.3089987247
enriched:	Wbscr27	0.0408680580282	3.17205182337
enriched:	Padi3	0.0191691632899	2.83356522083
enriched:	Trp53inp1	0.0445962629773	3.05382053449
enriched:	Numbl	0.00769189913706	2.4186167195
enriched:	C2cd2l	0.0120322323672	2.17592736872
enriched:	Tmem88b	0.0449413941401	15.1711641404
enriched:	Ctsf	0.0162551314281	21.5316062954
enriched:	Mir486	0.036555063047	2.3212187606
enriched:	Mxi1	0.00573988444693	2.28802121404
enriched:	Hyal1	0.000619035742801	9.22947948999
enriched:	Ube2h	0.00310466120567	2.33484327209
enriched:	Elf1	0.0301390466819	2.14922217989
enriched:	March8	0.0319936582688	2.08484725184
enriched:	Dusp8	0.0246777083747	13.425469266
enriched:	Nudt18	0.000887221041571	2.33468562767
enriched:	Capn5	0.000901482237129	14.1023875938
enriched:	Tcp11l1	0.00182162194573	3.92542150714
enriched:	Trp53inp2	0.000881597753074	3.90847972231
enriched:	Creb3l3	0.0269951780686	19.914287524
enriched:	Cpeb2	0.0196882434843	3.29984752528
enriched:	Slc30a1	0.0030881892957	2.1860452359
enriched:	Rcn3	0.0495446035926	4.27395993484
enriched:	Crlf1	0.00112341680634	14.8966431457
enriched:	Slc16a10	0.0345613611606	2.17320999255
enriched:	Tbx6	0.0144665041344	6.18472569857
enriched:	Tubb3	0.00725632625437	10.1872583299
enriched:	Gstt2	0.0425248548085	2.27677968364
enriched:	Rgs12	0.0172751462018	2.8583623233
enriched:	Gm16515	0.000547569970615	2.1893432491
enriched:	Dstyk	0.0270822068564	2.46600081989
enriched:	Slc26a11	0.036880877112	2.90361158148
enriched:	Fam57b	0.00701506317243	9.22293946583
enriched:	Usp49	0.0043785315889	2.15037210396
enriched:	Pxmp4	0.0154129976442	2.02860503847
enriched:	Fam63b	0.00585350830829	2.2177668753
enriched:	Tulp2	0.0292165021071	3.10937190984
enriched:	Fbxo44	0.00824954433392	3.09437593436
enriched:	Fhdc1	0.016655569084	3.37460697721
deenriched:	Mir3062	0.000918606220179	0.0252251257419
deenriched:	Myb	0.00266787647222	0.15223766615
deenriched:	Vim	0.0217116588763	0.398403548119
deenriched:	Sept9	0.0128083479897	0.256611206516
deenriched:	Ptprcap	0.0160273097333	0.33019470967
deenriched:	Kit	0.027320619114	0.223319272325
deenriched:	Arap3	0.0239289464705	0.191336865772
deenriched:	Mmp14	0.0436140228214	0.366589754712
deenriched:	Snora28	0.0378211570205	0.0375578777876
deenriched:	Sept1	0.045971111663	0.326273801385
deenriched:	Lgals9	0.000283539161586	0.24123491983
deenriched:	Nefh	0.00830619882277	0.195268040738
deenriched:	St8sia4	0.0235098545555	0.142714341787
deenriched:	Hmga1-rs1	0.00453335189119	0.4433909922
deenriched:	Gp5	0.040908350439	0.251590251768
deenriched:	Il1rl1	0.00129769216816	0.0430839667195
deenriched:	Fkbp11	0.0263637977957	0.065018632149
deenriched:	Def6	0.0146054563431	0.474652223417
deenriched:	Set	0.0426408137038	0.448617006801
deenriched:	Flna	0.00285326761371	0.176948584474
deenriched:	Hmga1	0.0177489744379	0.202412857185
deenriched:	Casp3	0.0020955959593	0.410423003624
deenriched:	Spn	0.0257407924372	0.37399635582
deenriched:	Ergic1	0.0107805180989	0.255828647711
deenriched:	Npm1	0.018841308315	0.423102156564
deenriched:	Ydjc	0.0101870416028	0.317466204644
deenriched:	Impa2	0.00875063225494	0.346917201973
deenriched:	Tfap4	0.00575803446935	0.344103377076
deenriched:	Hcls1	0.0378439478618	0.333443220661
deenriched:	Dlc1	0.0200350922768	0.248954488259
deenriched:	Bzw2	0.00181047486081	0.30011032747
deenriched:	Rrp15	0.00725521173112	0.295358956435
deenriched:	Smyd5	0.00605328681802	0.17459645258
deenriched:	Serf1	0.011129414247	0.25285198603
deenriched:	Gm13157	0.000628717289122	0.165589238128
